id	url	title	town	area	description	NRIS_no	nara_cat	long-lat
LC_HABS_HAER_il0122	https://www.loc.gov/item/il0122	Hotel Florence, 11111 South Forrestville Avenue, Chicago, Cook County, IL	Chicago,  Cook County,  IL	Cook County,  IL	HABS IL-1018 ;<br> Building/structure dates: 1881 Initial Construction ;<br> Building/structure dates: 1914 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 69000054	69000054	https://catalog.archives.gov/id/69000054	-87.608844, 41.692299
LC_HABS_HAER_il0055	https://www.loc.gov/item/il0055	Albert F. Madlener House, 4 West Burton Place, Chicago, Cook County, IL	Chicago,  Cook County,  IL	Cook County,  IL	HABS IL-1023 ;<br> Building/structure dates: 1902 Initial Construction ;<br> Building/structure dates: 1963 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 70000234	70000234	https://catalog.archives.gov/id/70000234	-87.629147, 41.909631
LC_HABS_HAER_il0038	https://www.loc.gov/item/il0038	Rookery Building, 209 South LaSalle Street, Chicago, Cook County, IL	Chicago,  Cook County,  IL	Cook County,  IL	HABS IL-1030 ;<br> Building/structure dates: 1905 Subsequent Work ;<br> Building/structure dates:    1886- 1888 Initial Construction ;<br> Building/structure dates: 1944 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 70000238	70000238	https://catalog.archives.gov/id/70000238	-87.631876, 41.878985
LC_HABS_HAER_il0129	https://www.loc.gov/item/il0129	Jewelers' Building, 15-19 South Wabash Avenue, Chicago, Cook County, IL	Chicago,  Cook County,  IL	Cook County,  IL	HABS IL-1049 ;<br> Building/structure dates: 1882 Initial Construction ;<br> National Register of Historic Places NRIS Number: 74000752	74000752	https://catalog.archives.gov/id/74000752	-87.625707, 41.881603
LC_HABS_HAER_il0051	https://www.loc.gov/item/il0051	Marquette Building, 140 South Dearborn Street, Chicago, Cook County, IL	Chicago,  Cook County,  IL	Cook County,  IL	HABS IL-1070 ;<br> Building/structure dates:    1894- 1895 Initial Construction ;<br> Building/structure dates: 1905 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 73000697	73000697	https://catalog.archives.gov/id/73000697	-87.629543, 41.879785
LC_HABS_HAER_il0042	https://www.loc.gov/item/il0042	Pullman Company Administration Building & Shops, 11001 South Cottage Grove Avenue, Chicago, Cook County, IL	Chicago,  Cook County,  IL	Cook County,  IL	HABS IL-1091 ;<br> Building/structure dates: 1881 Initial Construction ;<br> National Register of Historic Places NRIS Number: 69000054	69000054	https://catalog.archives.gov/id/69000054	-87.608705, 41.694304
LC_HABS_HAER_il0321	https://www.loc.gov/item/il0321	Frances E. Willard House, 1730 Chicago Avenue, Evanston, Cook County, IL	Evanston,  Cook County,  IL	Cook County,  IL	HABS IL-1095 ;<br> Building/structure dates: 1865 Initial Construction ;<br> Building/structure dates: 1878 Subsequent Work ;<br> Building/structure dates: 1890 Subsequent Work ;<br> Building/structure dates: 1893 Subsequent Work ;<br> National Register of Historic Places NRIS Number: 66000318	66000318	https://catalog.archives.gov/id/66000318	-87.678752, 42.048862
LC_HABS_HAER_il0897	https://www.loc.gov/item/il0897	John Farson House, 217 Home Avenue, Oak Park, Cook County, IL	Oak Park,  Cook County,  IL	Cook County,  IL	HABS IL-1210 ;<br> Building/structure dates: 1897-1898 Initial Construction ;<br> National Register of Historic Places NRIS Number: 72000454	72000454	https://catalog.archives.gov/id/72000454	-87.800535, 41.885388
LC_HABS_HAER_il0409	https://www.loc.gov/item/il0409	Jansonist Colony, Steeple Building, Main & Bishop Hill Streets, Bishop Hill, Henry County, IL	Bishop Hill,  Henry County,  IL	Henry County,  IL	HABS IL-169-N ;<br> Building/structure dates: 1854 Initial Construction ;<br> National Register of Historic Places NRIS Number: 70000244	70000244	https://catalog.archives.gov/id/70000244	-90.118611, 41.200493
LC_HABS_HAER_il0406	https://www.loc.gov/item/il0406	Jansonist Colony, Colony Store & Post Office, Main & Bishop Hill Streets, Bishop Hill, Henry County, IL	Bishop Hill,  Henry County,  IL	Henry County,  IL	HABS IL-169-K ;<br> Building/structure dates: after 1840 Initial Construction ;<br> National Register of Historic Places NRIS Number: 70000244	70000244	https://catalog.archives.gov/id/70000244	-90.11906, 41.200099
