done	id	url	title	town	area	description	NRIS_no	nara_cat	long-lat
	LC_HABS_HAER_tn0330		Elkmont Historic District, Daisy Town, Mayo Cabin, Levi Trentham Cabin & Mayo Servants Quarters, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-H ; Building/structure dates: ca. 1830 Initial Construction ; Building/structure dates: 1930 Subsequent Work ; Building/structure dates: 1932 Subsequent Work ; Building/structure dates: ca. 1920 Initial Construction ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0356		Elkmont Historic District, Society Hill, Jeffords Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-HH ; Building/structure dates: ca. 1920 Initial Construction ; Building/structure dates: ca. 1970 Subsequent Work ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0382		Elkmont Historic District, Wonderland Club, May Cabin, Wonderland Hotel Access Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-HHH ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0331		Elkmont Historic District, Daisy Town, Cain Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-I ; Building/structure dates: ca. 1915 Initial Construction ; Building/structure dates: ca. 1970 Subsequent Work ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0357		Elkmont Historic District, Society Hill, McAmis Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-II ; Building/structure dates: ca. 1920 Initial Construction ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0383		Elkmont Historic District, Wonderland Club, Paine Cabin, Elkmont Cemetery Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-III ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0332		Elkmont Historic District, Daisy Town, Gaylon Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-J ; Building/structure dates: 1919 Subsequent Work ; Building/structure dates: 1970 Subsequent Work ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0358		Elkmont Historic District, Society Hill, Culver Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-JJ ; Building/structure dates: 1922 Initial Construction ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0384		Elkmont Historic District, Wonderland Club, Preston Cabin, Wonderland Hotel Access Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-JJJ ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0333		Elkmont Historic District, Daisy Town, Baumann Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-K ; Building/structure dates: 1910 Initial Construction ; Building/structure dates: 1936 Subsequent Work ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0359		Elkmont Historic District, Society Hill, Knaffl Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-KK ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0334		Elkmont Historic District, Daisy Town, Scruggs-Brisco Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-L ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0360		Elkmont Historic District, Society Hill, Johnston Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-LL ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0386		Elkmont Historic District, Wonderland Club, Hicks Cabin, Wonderland Hotel Access Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-LLL ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0335		Elkmont Historic District, Daisy Town, Sneed Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-M ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0336		Elkmont Historic District, Daisy Town, Cook Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-N ; Building/structure dates: ca. 1912 Initial Construction ; Building/structure dates: ca. 1970 Subsequent Work ; Building/structure dates: ca. 1940 Subsequent Work ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0362		Elkmont Historic District, Society Hill, Dudley Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-NN ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0337		Elkmont Historic District, Daisy Town, Jamerson Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-O ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0363		Elkmont Historic District, Society Hill, Kuhlman Cabin, Garage & Woodshed, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-OO ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0389		Elkmont Historic District, Wonderland Club, Tate, Beaman & Tucker Cabin, Wonderland Hotel Access Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-OOO ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0338		Elkmont Historic District, Daisy Town, Hale Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-P ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0339		Elkmont Historic District, Daisy Town, Burdette Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-Q ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0340		Elkmont Historic District, Daisy Town, Bagley Cabin, Daisy Town Road, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-R ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0366		Elkmont Historic District, Millionaire's Row, Brandau Cabin, Little River Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-RR ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0341		Elkmont Historic District, Society Hill, Gilliand Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-S ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0367		Elkmont Historic District, Millionaire's Row, Parrott Cabin, Little River Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-SS ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0342		Elkmont Historic District, Society Hill, Thomas Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-T ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0368		Elkmont Historic District, Millionaire's Row, Murphy Cabin, Little River Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-TT ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0343		Elkmont Historic District, Society Hill, F. Andrews Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-U ; Building/structure dates: ca. 1910 Initial Construction ; Building/structure dates: 1956 Subsequent Work ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0369		Elkmont Historic District, Millionaire's Row, Miller Cabin, Little River Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-UU ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0344		Elkmont Historic District, Society Hill, Andrews-Sherling Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-V ; Building/structure dates: ca. 1912 Initial Construction ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0370		Elkmont Historic District, Millionaire's Row, Faust Cabin & Garage, Little River Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-VV ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0345		Elkmont Historic District, Society Hill, Congleton-Brownlow Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-W ; Building/structure dates: ca. 1915 Initial Construction ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0371		Elkmont Historic District, Millionaire's Row, Young Cabin, Little River Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-WW ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0346		Elkmont Historic District, Society Hill, McDonald Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-X ; Building/structure dates: ca. 1910 Initial Construction ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0372		Elkmont Historic District, Millionaire's Row, Cambier Cabin, Little River Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-XX ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0347		Elkmont Historic District, Society Hill, W. Arnett Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-Y ; Building/structure dates: 1910 Initial Construction ; Building/structure dates: ca. 1970 Subsequent Work ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0348		Elkmont Historic District, Society Hill, Franklin Cabin, Jakes Creek Trail, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-250-Z ; National Register of Historic Places NRIS Number: 94000166	94000166		wikipedia look up
	LC_HABS_HAER_tn0424		Hiking Club Barn, Greenbrier Section, Gatlinburg, Sevier County, TN	Gatlinburg Sevier County TN	Sevier County,  TN	HABS TN-259 ; National Register of Historic Places NRIS Number: 76000166	76000166		wikipedia look up
	LC_HABS_HAER_tx1040		Fort Sam Houston, Blacksmith Shop & Tether Wall, San Antonio, Bexar County, TX	San Antonio Bexar County TX	Bexar County,  TX	HABS TX-3303-27 ; Building/structure dates: 1893 Initial Construction ; National Register of Historic Places NRIS Number: 75001950	75001950		wikipedia look up
	LC_HABS_HAER_tx1050		Fort Sam Houston, Magazine Building, San Antonio, Bexar County, TX	San Antonio Bexar County TX	Bexar County,  TX	HABS TX-3303-28 ; National Register of Historic Places NRIS Number: 75001950	75001950		wikipedia look up
	LC_HABS_HAER_tx1035		Bastrop State Park, Bastrop, Bastrop County, TX	Bastrop Bastrop County TX	Bastrop County,  TX	HABS TX-3522 ; National Register of Historic Places NRIS Number: 97001242	97001242		wikipedia look up
	LC_HABS_HAER_tx1036		Bastrop State Park, Refectory, Bastrop, Bastrop County, TX	Bastrop Bastrop County TX	Bastrop County,  TX	HABS TX-3522-A ; Building/structure dates: 1934-1936 Initial Construction ; National Register of Historic Places NRIS Number: 97001242	97001242		wikipedia look up
	LC_HABS_HAER_tx1037		Bastrop State Park, Cabin No. 4, Bastrop, Bastrop County, TX	Bastrop Bastrop County TX	Bastrop County,  TX	HABS TX-3522-B ; Building/structure dates: after 1933 Initial Construction ; National Register of Historic Places NRIS Number: 97001242	97001242		wikipedia look up
	LC_HABS_HAER_tx1054		Zilker Park Club House, 200 Clubhouse Road, Austin, Travis County, TX	Austin Travis County TX	Travis County,  TX	HABS TX-3525 ; Building/structure dates: HABS TX-3525 ; National Register of Historic Places NRIS Number: 97000479	97000479		wikipedia look up
	LC_HABS_HAER_tx1056		Charles Goodnight Ranch House, Goodnight, Armstrong County, TX	Goodnight Armstrong County TX	Armstrong County,  TX	HABS TX-3529 ; Building/structure dates: 1887 Initial Construction ; National Register of Historic Places NRIS Number: 07000988	07000988		wikipedia look up
	LC_HABS_HAER_tx1093		Spanish Governor's Palace, 105 Plaza de Armas, San Antonio, Bexar County, TX	San Antonio Bexar County TX	Bexar County,  TX	HABS TX-3540 ; Building/structure dates: 1749 Initial Construction ; Building/structure dates: 1929 Subsequent Work ; National Register of Historic Places NRIS Number: 70000741	70000741		wikipedia look up
	LC_HABS_HAER_um0060	https://www.loc.gov/item/um0060	Wake Island Airfield, Terminal Building, West Side of Wake Avenue, Wake Island, Wake Island, UM	Wake Island,  Wake Island,  UM	Wake Island,  UM	HABS UM-2-A ;<br> National Register of Historic Places NRIS Number: 85002726	85002726		wikipedia look up
	LC_HABS_HAER_ut0713		Wolfe Ranch, Moab, Grand County, UT	Moab Grand County UT	Grand County,  UT	HABS UT-141 ; Building/structure dates: ca. 1898 Initial Construction ; National Register of Historic Places NRIS Number: 75000167	75000167		wikipedia look up
	LC_HABS_HAER_ut0231		Oak Creek Historic Complex, Carpenter Shop, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-L ; Building/structure dates: 1933 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
